pool,profile,architecture,points,sampling,augmentation,id,parameters,center_policy,neighbors,encoder_dimensions,standard_convolution,graph_message_passing,current_status
p35,h0,set_attention,48,curvature,rotate_so3,c213,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,48,curvature,jitter_rotate15,c214,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,48,curvature,jitter_rotate_so3,c215,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,fps_graph,32,uniform,none,c216,217986,every_valid_line,fps6,141,False,True,retired_graph_convolution
p35,h0,fps_graph,32,uniform,jitter,c217,217986,every_valid_line,fps6,141,False,True,retired_graph_convolution
p35,h0,fps_graph,32,uniform,rotate15,c218,217986,every_valid_line,fps6,141,False,True,retired_graph_convolution
p35,h0,fps_graph,32,uniform,rotate_so3,c219,217986,every_valid_line,fps6,141,False,True,retired_graph_convolution
p35,h0,fps_graph,32,uniform,jitter_rotate15,c220,217986,every_valid_line,fps6,141,False,True,retired_graph_convolution
p35,h0,fps_graph,32,uniform,jitter_rotate_so3,c221,217986,every_valid_line,fps6,141,False,True,retired_graph_convolution
p35,h0,fps_graph,32,curvature,none,c222,217986,every_valid_line,fps6,141,False,True,retired_graph_convolution
